, bonus ,deferral_payments,deferred_income,director_fees,exercised_stock_options,expenses,from_messages,from_poi_to_this_person,from_this_person_to_poi,to_from_Poi,loan_advances,long_term_incentive,restricted_stock,restricted_stock_deferred,salary,shared_receipt_with_poi,to_messages,total_payments,total_stock_value
65," $7,000,000.00 ",202911,-300000,0,34348384,99832,36,123,16,139,81525000,3600000,14761694,0,1072321,2411,4273,103559793,49110078
125, $-   ,10259,0,0,30766064,77978,0,0,0,0,0,0,0,0,0,0,0,91093,30766064
94," $5,600,000.00 ",0,0,0,19250000,29336,108,88,30,118,0,1920000,6843672,0,1111258,2042,3627,8682716,26093672
129," $1,000,000.00 ",0,0,0,15364167,32047,0,0,0,0,0,0,8453763,0,261879,0,0,3123383,23817930
88," $1,750,000.00 ",0,-3504386,0,19794175,46950,18,42,4,46,0,1617011,2748364,0,420636,864,905,505050,22542539
106," $450,000.00 ",0,0,0,1297049,81353,0,0,0,0,0,0,13847074,0,317543,0,0,1934359,15144123
128," $2,000,000.00 ",6426990,-3367011,0,10433518,86987,21,242,6,248,2000000,1617011,4188667,0,1060932,2979,3275,17252530,14622185
124, $-   ,0,0,0,8308552,53947,0,0,0,0,0,0,3576206,0,158403,0,0,360300,11884758
1," $1,200,000.00 ",1295738,-1386055,0,6680544,11200,0,0,0,0,0,1586055,3942714,0,267102,0,0,5634343,10623258
127," $800,000.00 ",0,-1284000,0,8831913,51124,909,64,20,84,0,484000,1787380,-1787380,492375,1401,2181,550981,8831913
116," $1,000,000.00 ",0,0,0,8191755,35812,0,0,0,0,0,694862,126027,0,262788,0,0,2368151,8317782
80, $-   ,0,0,0,7509039,14689,221,204,49,253,0,0,381285,0,96840,1063,1671,111529,7890324
91, $-   ,0,0,0,5266578,18834,0,0,0,0,0,135836,2041016,0,94941,0,0,249787,7307594
8, $-   ,3131860,0,0,5210569,0,1073,44,15,59,0,0,2046079,0,0,1074,2350,3131860,7256648
2," $350,000.00 ",0,-400729,0,4890344,78552,0,0,0,0,0,0,1788391,0,170941,0,0,211725,6678735
4," $1,500,000.00 ",0,-3117011,0,5538001,34039,32,32,21,53,0,1617011,853064,0,243293,1035,1045,288682,6391065
102," $1,000,000.00 ",0,0,0,2022048,41953,6759,140,387,527,0,300000,4131594,0,404338,3639,12754,1747522,6153642
57," $3,000,000.00 ",0,0,0,3282960,57838,556,186,24,210,0,808346,2796177,0,510364,3920,6019,4677574,6079137
107, $-   ,0,0,0,5127155,0,0,0,0,0,0,0,950730,0,0,0,0,0,6077885
21," $850,000.00 ",0,0,0,4346544,50936,146,17,0,17,0,540751,1552453,0,357091,215,671,1798780,5898997
136, $-   ,0,0,0,2165172,28093,19,28,5,33,0,312500,3654808,0,85274,437,496,1979596,5819980
49, $-   ,0,-5104,0,4046157,56301,29,39,0,39,0,0,1757552,-560222,477,465,566,916197,5243487
43," $8,000,000.00 ",0,0,0,4158995,49537,2585,528,411,939,0,2035380,1008149,0,339288,3962,7259,10425757,5167144
84, $-   ,16586,0,0,4452476,46145,41,0,0,0,0,200000,365320,0,222093,73,266,911453,4817796
115," $100,000.00 ",51365,-200000,0,4160672,8409,0,0,0,0,0,156250,201483,-140264,76399,0,0,394475,4221891
142," $600,000.00 ",227449,0,0,3181250,0,29,0,0,0,0,0,563798,0,265214,300,533,1092663,3745048
60," $3,000,000.00 ",0,0,0,2291113,86174,3069,66,609,675,0,1294981,1323148,0,365163,2097,3093,4747979,3614261
139," $900,000.00 ",649584,-694862,0,2542813,0,1053,156,71,227,0,769862,901657,0,330546,2333,3523,2355702,3444470
52," $1,500,000.00 ",0,0,0,1835558,0,92,28,23,51,0,554422,1293424,0,428780,2103,3187,4335388,3128982
58," $1,100,000.00 ",0,0,0,1623010,81364,2742,92,194,286,0,554422,1478269,0,365038,2189,3329,2101364,3101279
63," $200,000.00 ",204075,0,0,2549361,57727,0,0,0,0,0,175000,514847,0,236457,0,0,875889,3064208
67," $750,000.00 ",77716,0,0,1637034,63791,52,20,15,35,0,100000,969729,0,329078,856,1184,1321557,2606763
141," $1,000,000.00 ",0,-235000,0,0,30674,49,58,12,70,0,350000,2502063,0,415189,1585,1892,1868758,2502063
53," $200,000.00 ",0,-4167,0,1624396,22884,39,13,14,27,0,0,869220,0,211844,91,225,2003885,2493616
44, $-   ,0,0,0,1624396,11892,0,0,0,0,0,0,869220,0,216582,0,0,228474,2493616
133," $2,500,000.00 ",0,0,0,940257,95924,75,42,37,79,0,374347,1392142,0,304588,1604,1755,3676340,2332399
10, $-   ,2964506,0,0,2282768,4994,17,10,17,27,0,0,0,0,130724,119,128,3100224,2282768
14, $-   ,504610,0,0,2218275,0,12,0,0,0,0,461912,0,0,0,23,169,966522,2218275
33, $-   ,0,0,0,0,475,19,4,7,11,0,0,2217299,0,0,471,573,475,2217299
25," $2,000,000.00 ",0,0,0,1441898,178979,2681,94,83,177,0,554422,630137,0,304110,1730,3221,3038702,2072035
138, $-   ,85430,0,0,2070306,8211,230,8,0,8,0,5145434,0,0,349487,477,1522,8407016,2070306
105," $325,000.00 ",831299,-583325,0,1668260,0,30,22,7,29,0,200000,388167,0,259996,337,400,1034395,2056427
45," $425,000.00 ",875307,-775241,0,2027865,52255,0,0,0,0,0,415657,315068,-315068,210500,0,0,1204583,2027865
74, $-   ,0,0,0,1753766,0,0,0,0,0,0,0,264013,-72419,0,0,0,0,1945360
134," $700,000.00 ",0,0,0,671737,127017,61,53,15,68,0,300000,1248318,0,309946,2271,2374,1587421,1920055
30," $700,000.00 ",214678,-100000,0,1635238,33271,82,35,48,83,0,0,283649,0,249201,1258,1328,1099100,1918887
104, $-   ,0,0,0,1324578,0,36,0,0,0,0,0,560170,0,0,10,517,0,1884748
126," $600,000.00 ",0,0,0,1550019,3475,63,305,14,319,0,556416,315068,0,250100,1902,2572,1410464,1865087
29," $1,000,000.00 ",0,0,0,1465734,38559,40,23,8,31,0,369721,378082,0,213625,1336,1607,2047593,1843816
96, $-   ,0,0,0,1426469,0,25,39,18,57,0,0,405999,0,0,583,613,0,1832468
85," $1,300,000.00 ",0,-1386055,0,0,55921,0,0,0,0,0,1736055,1794412,0,440698,0,0,2424083,1794412
108," $4,175,000.00 ",2869717,-3081055,0,1729541,13868,2195,47,65,112,0,304805,126027,-126027,201955,1407,2902,4484442,1729541
68, $-   ,0,0,0,757301,0,13,54,1,55,0,0,934065,0,0,720,894,0,1691366
7," $2,600,000.00 ",0,0,0,1104054,137108,48,58,26,84,0,694862,558801,0,370448,2228,2355,4099771,1662855
83," $750,000.00 ",0,0,0,1451869,25785,12,106,3,109,0,1105218,189041,0,210692,599,904,2093263,1640910
78," $350,000.00 ",0,0,0,664461,23870,16,1,8,9,0,556416,956775,0,199157,723,936,1414857,1621236
81, $-   ,684694,0,0,1599641,0,0,0,0,0,0,93750,0,0,80818,0,0,860136,1599641
17," $1,100,000.00 ",842924,-719000,0,1056320,0,16,12,0,12,0,1725545,360528,0,251654,114,136,3202070,1416848
61," $100,000.00 ",181993,0,0,1362375,0,0,0,0,0,0,554422,0,0,162779,0,0,999356,1362375
137," $300,000.00 ",0,-575000,0,591250,0,19,10,11,21,0,275000,576792,0,247338,379,460,399393,1168042
114, $-   ,0,0,0,754966,0,34,35,5,40,0,0,363428,0,0,589,719,0,1118394
82," $5,249,999.00 ",2144013,-2334434,0,953136,17355,484,228,108,336,0,0,157569,0,213999,5521,7991,5501630,1110705
97, $-   ,564348,0,0,886231,0,0,0,0,0,0,0,208809,0,0,0,0,564348,1095040
143," $800,000.00 ",0,-300000,0,765920,96268,22,188,11,199,0,0,315068,0,278601,772,865,875760,1080988
3, $-   ,0,0,0,651850,0,12,10,0,10,0,0,386335,0,0,58,764,0,1038185
56, $-   ,0,-51042,0,0,116335,0,0,0,0,0,0,1034346,0,174246,0,0,704896,1034346
20, $-   ,53625,0,0,1030329,33785,0,0,0,0,0,0,0,0,0,0,0,87410,1030329
119," $500,000.00 ",0,0,0,825464,600,125,0,0,0,0,304805,189041,0,248017,23,1088,1054637,1014505
34," $200,000.00 ",0,0,0,601438,21530,0,0,0,0,0,2234774,407503,0,182245,0,0,2692324,1008941
51," $650,000.00 ",0,0,0,607837,137767,1215,74,65,139,0,0,379164,0,269076,4527,15149,1057548,987001
41," $800,000.00 ",0,0,0,0,118134,0,0,0,0,0,602671,985032,0,224305,0,0,2652612,985032
89," $400,000.00 ",0,0,0,850010,83585,14368,41,171,212,0,323466,126027,0,275101,583,4607,1086821,976037
6, $-   ,1848227,0,0,493489,0,28,0,0,0,0,0,462384,0,0,22,232,1848227,955873
12," $850,000.00 ",0,0,0,765313,84208,14,25,2,27,0,831809,189041,0,248546,2326,2475,2014835,954354
71," $900,000.00 ",0,-125000,0,506765,228763,49,52,0,52,0,0,441096,0,263413,1469,1744,1318763,947861
122," $850,000.00 ",0,0,0,636246,48405,44,10,27,37,0,375304,259907,0,231946,178,209,1566469,896153
9," $400,000.00 ",1130036,-33333,0,880290,43057,222,61,48,109,0,0,409554,-409554,197091,742,1238,1737629,880290
48," $750,000.00 ",0,0,0,436515,0,0,0,0,0,0,304805,441096,0,272880,0,0,2146973,877611
38, $-   ,0,0,0,850477,0,26,10,0,10,0,0,0,0,0,739,952,0,850477
75," $1,150,000.00 ",2157527,-934484,0,608750,76169,1941,180,61,241,0,983346,524169,-329825,374125,1847,4009,3859065,803094
144," $600,000.00 ",0,0,0,384728,125978,16,52,6,58,0,71023,393818,0,274975,874,873,1272284,778546
73, $-   ,0,0,0,759557,0,0,0,0,0,0,0,0,0,0,0,0,0,759557
40, $-   ,0,0,0,664375,0,215,25,2,27,0,0,94556,0,0,508,1433,0,758931
18," $250,000.00 ",0,0,0,185063,10181,56,25,19,44,0,0,540672,0,288558,117,258,551174,725735
13," $700,000.00 ",0,0,0,0,0,38,37,13,50,0,476451,698920,0,257486,2565,2647,1545059,698920
16," $1,200,000.00 ",27610,-144062,0,0,16514,40,240,11,251,0,0,698242,0,288542,1132,1758,1490344,698242
72," $700,000.00 ",0,-280000,0,187500,48357,0,0,0,0,0,150000,480632,0,262663,0,0,1297461,668132
27," $250,000.00 ",0,-485813,0,0,59175,59,4,0,4,0,180250,659249,0,187922,233,383,618850,659249
121," $400,000.00 ",0,0,0,400478,57580,45,11,2,13,0,125000,196983,0,229284,395,2192,812194,597461
0," $600,000.00 ",0,0,0,0,94299,29,38,1,39,0,0,585062,0,365788,702,807,1061827,585062
22," $3,100,000.00 ",0,0,0,81042,5774,1728,251,194,445,0,0,466101,0,271442,3669,8305,3471141,547143
93," $500,000.00 ",0,0,0,0,16514,0,0,0,0,0,0,511734,0,239502,0,0,1112087,511734
90," $800,000.00 ",0,-41250,0,117551,27861,33,0,4,4,0,0,378082,0,314288,71,102,1101393,495633
109," $600,000.00 ",187469,0,0,281073,116337,136,24,6,30,0,422158,213063,0,248146,2477,3136,1576511,494136
36," $1,700,000.00 ",0,0,0,0,98849,27,40,1,41,0,69223,441096,0,211788,900,1320,2081796,441096
110, $-   ,0,-25000,108750,431750,0,0,0,0,0,0,0,44093,-44093,0,0,0,83750,431750
66," $750,000.00 ",0,-75000,0,0,9410,0,0,0,0,0,175000,417619,0,261516,0,0,1271582,417619
54, $-   ,0,-25000,112492,412878,0,0,0,0,0,0,0,0,0,0,0,0,87492,412878
19, $-   ,0,-10800,0,0,51870,0,0,0,0,0,256191,384930,0,63744,0,0,762135,384930
15, $-   ,0,0,0,372205,0,0,0,0,0,0,0,153686,-153686,0,0,0,0,372205
50, $-   ,0,-25000,102492,371750,0,0,0,0,0,0,0,0,0,0,0,0,77492,371750
101, $-   ,774401,0,0,0,0,0,0,0,0,0,0,463261,-94556,0,0,0,774401,368705
42," $1,000,000.00 ",0,0,0,0,0,63,67,14,81,0,1387399,360528,0,273746,2672,2822,2664228,360528
131, $-   ,0,0,0,0,0,1061,35,38,73,0,0,346663,0,0,571,2649,0,346663
86, $-   ,181755,0,0,343434,0,13,0,0,0,0,0,0,0,0,2,57,181755,343434
70," $509,870.00 ",73122,-1042,0,83237,50080,0,0,0,0,0,0,235370,0,192008,0,0,900585,318607
113, $-   ,178980,0,0,257817,3486,0,0,0,0,0,0,0,0,0,0,0,182466,257817
76," $1,350,000.00 ",0,-833,0,0,65907,27,140,15,155,0,974293,252055,0,278601,1593,1858,2669589,252055
79, $-   ,0,0,0,59539,0,19,0,0,0,0,0,161602,0,0,127,672,0,221141
5," $325,000.00 ",0,0,0,0,35018,0,0,0,0,0,0,208510,0,267093,0,0,628522,208510
69," $325,000.00 ",0,0,0,0,22344,0,0,0,0,0,275000,207940,0,184899,0,0,807956,207940
120, $-   ,0,0,0,192758,55097,0,0,0,0,0,0,0,0,0,0,0,55097,192758
37, $-   ,0,0,0,0,0,0,0,0,0,0,0,662086,-472568,0,0,0,0,189518
132, $-   ,50591,0,0,176378,0,0,0,0,0,0,0,0,0,0,0,0,50591,176378
55," $600,000.00 ",0,0,0,17378,41626,74,115,4,119,0,335349,141833,0,206121,552,714,1208649,159211
39, $-   ,7961,0,0,0,0,12,16,0,16,0,0,151418,0,0,50,504,7961,151418
62, $-   ,0,0,0,139130,0,0,0,0,0,0,0,0,0,0,0,0,0,139130
87," $1,250,000.00 ",0,-262500,0,0,35818,144,199,25,224,0,375304,126027,0,240189,2188,2598,1639297,126027
32," $700,000.00 ",0,0,0,0,37172,4343,144,386,530,0,0,126027,0,231330,2639,7315,969068,126027
31, $-   ,0,0,0,98718,0,0,0,0,0,0,0,0,0,0,0,0,0,98718
77, $-   ,0,0,0,9803,0,0,0,0,0,0,0,75838,0,0,0,0,0,85641
130," $400,000.00 ",260455,-201641,0,0,129142,0,0,0,0,0,0,145796,-82782,239671,0,0,827696,63014
59, $-   ,0,0,0,0,0,16,0,1,1,0,0,47304,0,0,3,58,0,47304
99," $300,000.00 ",0,0,0,28798,31653,67,7,0,7,400000,0,0,0,655037,728,898,1386690,28798
117, $-   ,0,0,137864,2604490,0,29,0,1,1,0,0,-2604490,15456290,0,463,523,15456290,0
98, $-   ,93585,0,0,0,0,0,0,0,0,0,365625,0,0,6615,0,0,1146658,0
11," $788,750.00 ",0,0,0,0,53122,18,12,0,12,0,0,0,0,288589,41,111,1130461,0
118," $300,000.00 ",0,-159792,0,0,0,15,29,7,36,0,75000,307301,-307301,261809,196,312,477557,0
100, $-   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362096,0
123," $70,000.00 ",0,0,0,0,28164,14,10,3,13,0,0,0,0,221003,114,176,319941,0
28, $-   ,0,-36666,36666,0,228656,0,0,0,0,0,0,0,0,0,0,0,228656,0
46, $-   ,0,0,109298,0,103773,0,0,0,0,0,0,0,0,0,0,0,213071,0
26, $-   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189583,0
140, $-   ,0,0,119292,0,0,0,0,0,0,0,0,0,0,0,0,0,119292,0
111, $-   ,0,-25000,108579,0,1413,0,0,0,0,0,0,0,0,0,0,0,84992,0
112, $-   ,0,0,0,0,49288,41,13,1,14,0,0,0,0,0,761,1486,49288,0
92, $-   ,0,-101250,101250,0,27942,0,0,0,0,0,0,0,0,0,0,0,27942,0
135, $-   ,0,-121284,125034,0,0,0,0,0,0,0,0,0,0,0,0,0,3750,0
64, $-   ,0,-38346,38346,0,2151,0,0,0,0,0,0,0,0,0,0,0,2151,0
95, $-   ,0,-113784,113784,0,1279,0,0,0,0,0,0,0,0,0,0,0,1279,0
35, $-   ,0,-103750,103750,0,148,0,0,0,0,0,0,0,0,0,0,0,148,0
47, $-   ,0,-17500,17500,0,0,26,0,0,0,0,0,0,0,0,12,653,0,0
23, $-   ,0,-98784,98784,0,0,0,0,0,0,0,0,32460,-32460,0,0,0,0,0
24, $-   ,-102500,0,3285,3285,0,0,0,0,0,0,0,0,44093,0,0,0,102500,-44093
